Name_CN,Name_EN,year_range,Area_Year_Book,Area_pixel,Area_pixel_km2
聊城市,Liaocheng,2014_2016,99.0,2518540.298039216,2266.6862682352944
聊城市,Liaocheng,2017_2019,111.0,2713359.1019607848,2442.023191764706
滨州市,Binzhou,1993_1995,19.0,967219.4666666667,870.49752
滨州市,Binzhou,1999_2001,21.0,1082130.4941176472,973.9174447058824
滨州市,Binzhou,2002_2004,37.0,1207110.894117647,1086.3998047058824
滨州市,Binzhou,2005_2007,67.0,1338596.3176470587,1204.7366858823527
滨州市,Binzhou,2008_2010,82.0,1530886.5803921574,1377.7979223529417
滨州市,Binzhou,2011_2013,88.0,1734993.0862745093,1561.4937776470586
滨州市,Binzhou,2014_2016,113.0,2094716.1647058823,1885.2445482352941
滨州市,Binzhou,2017_2019,142.0,2311337.9607843137,2080.2041647058822
郑州市,Zhengzhou,1993_1995,102.0,834487.7176470587,751.0389458823529
郑州市,Zhengzhou,1996_1998,116.0,1075743.8039215687,968.1694235294118
郑州市,Zhengzhou,1999_2001,133.0,1208792.2274509803,1087.9130047058825
郑州市,Zhengzhou,2002_2004,170.0,1379197.768627451,1241.2779917647058
郑州市,Zhengzhou,2005_2007,282.0,1730168.407843137,1557.1515670588233
郑州市,Zhengzhou,2008_2010,337.0,1920862.4862745095,1728.7762376470585
郑州市,Zhengzhou,2011_2013,373.0,2307494.6901960787,2076.7452211764707
郑州市,Zhengzhou,2014_2016,438.0,3233457.5450980393,2910.1117905882356
郑州市,Zhengzhou,2017_2019,544.0,3696012.7725490197,3326.4114952941177
开封市,Kaifeng,1993_1995,46.0,789340.6470588236,710.4065823529413
开封市,Kaifeng,1996_1998,50.0,870730.3058823531,783.6572752941179
开封市,Kaifeng,1999_2001,67.0,913032.9254901963,821.7296329411766
开封市,Kaifeng,2002_2004,70.0,1014896.6039215686,913.4069435294118
开封市,Kaifeng,2005_2007,81.0,1191823.1254901958,1072.6408129411761
开封市,Kaifeng,2008_2010,94.0,1285693.2156862745,1157.123894117647
开封市,Kaifeng,2011_2013,94.0,1539271.0509803926,1385.3439458823532
开封市,Kaifeng,2014_2016,129.0,1795960.141176471,1616.3641270588241
开封市,Kaifeng,2017_2019,164.0,2285566.8078431375,2057.010127058824
洛阳市,Luoyang,1993_1995,68.0,352432.77647058823,317.18949882352933
洛阳市,Luoyang,1996_1998,91.0,430044.5882352941,387.04012941176467
洛阳市,Luoyang,1999_2001,104.0,492790.1960784314,443.51117647058817
洛阳市,Luoyang,2002_2004,121.0,631591.8117647059,568.4326305882354
洛阳市,Luoyang,2005_2007,144.0,797620.2823529412,717.8582541176472
洛阳市,Luoyang,2008_2010,166.0,959025.1803921568,863.1226623529411
洛阳市,Luoyang,2011_2013,187.0,1217808.1843137254,1096.027365882353
洛阳市,Luoyang,2014_2016,209.0,1671727.6784313724,1504.554910588235
洛阳市,Luoyang,2017_2019,218.0,1810429.9411764708,1629.3869470588238
平顶山市,Pingdingshan,1993_1995,35.0,603974.7882352942,543.5773094117648
平顶山市,Pingdingshan,1996_1998,36.0,687232.611764706,618.5093505882354
平顶山市,Pingdingshan,1999_2001,46.0,758091.3137254904,682.2821823529413
平顶山市,Pingdingshan,2002_2004,53.0,819190.7215686275,737.2716494117647
平顶山市,Pingdingshan,2005_2007,66.0,1007384.9411764705,906.6464470588235
平顶山市,Pingdingshan,2008_2010,63.0,1088961.1490196076,980.0650341176469
平顶山市,Pingdingshan,2011_2013,72.0,1263814.5686274513,1137.4331117647062
平顶山市,Pingdingshan,2014_2016,73.0,1783671.333333333,1605.3041999999998
平顶山市,Pingdingshan,2017_2019,74.0,1922404.243137255,1730.1638188235295
