year,seed,band,importance
1999_2001,2,EVI_sin_2,123.48074083917491
1999_2001,2,Mean_EVI,87.69865011883815
1999_2001,2,Mean_NDBI,88.59430312049466
1999_2001,2,NDBI_cos_3,116.8174075478487
1999_2001,2,SLOPE,122.91838594232829
1999_2001,2,random,106.51068627850246
1999_2001,2,shum,123.50908087263032
1999_2001,2,wind,101.25435309686227
1999_2001,2,B4,104.93580502192347
1999_2001,2,EVI_sin_3,126.43030334215184
1999_2001,2,lrad,130.30104245563064
1999_2001,2,B1,88.89315295465401
1999_2001,2,B5,96.14293994945768
1999_2001,2,Mean_NDVI,80.65257165230992
1999_2001,3,B7,100.9374609809748
1999_2001,3,DEM,111.91575563769813
1999_2001,3,EVI_sin_2,117.78887927786916
1999_2001,3,Mean_EVI,95.88131331775553
1999_2001,3,Mean_NDBI,86.12071053730801
1999_2001,3,NDBI_cos_3,123.26214475704306
1999_2001,3,SLOPE,106.59124443315412
1999_2001,3,random,106.51816976787013
1999_2001,3,shum,129.9246703586286
1999_2001,3,wind,105.81363790808533
1999_2001,3,B4,95.50358610173168
1999_2001,3,EVI_sin_3,109.54949352549436
1999_2001,3,lrad,119.78502069275669
1999_2001,3,B1,84.51699403769913
1999_2001,3,B5,92.0007883368719
1999_2001,3,Mean_NDVI,87.58357843039401
1999_2001,4,B7,112.17253522586383
1999_2001,4,DEM,125.30662785371587
1999_2001,4,EVI_sin_2,135.55678978905013
1999_2001,4,Mean_EVI,98.03451717193249
1999_2001,4,Mean_NDBI,83.64469067021807
1999_2001,4,NDBI_cos_3,114.94928632512661
1999_2001,4,SLOPE,113.29099511917131
1999_2001,4,random,107.03318932555143
1999_2001,4,shum,136.13396827473784
1999_2001,4,wind,107.04538703061341
1999_2001,4,B4,94.96694473610894
1999_2001,4,EVI_sin_3,124.62246654993899
1999_2001,4,lrad,135.08858140400255
1999_2001,4,B1,87.39870132286195
1999_2001,4,B5,95.04295227116882
1999_2001,4,Mean_NDVI,85.80824777092184
1999_2001,5,B7,101.9104630496123
1999_2001,5,DEM,120.8323281152805
1999_2001,5,EVI_sin_2,127.7086443428961
1999_2001,5,Mean_EVI,105.16069751150778
1999_2001,5,Mean_NDBI,83.62070176583202
1999_2001,5,NDBI_cos_3,117.79523278265766
1999_2001,5,SLOPE,108.8036355312756
1999_2001,5,random,104.5996626671027
1999_2001,5,shum,119.25129630279453
1999_2001,5,wind,112.28216716441369
1999_2001,5,B4,108.4181570801077
