index,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,year
1,"(0,)",[0.73910866 0.74749499 0.73947896 0.74048096],0.7416408932035328,"('B1',)",0.00547729851659664,0.0034169446754796027,0.001972773928194207,1999_2001
2,"(0, 13)",[0.8012018  0.80561122 0.78757515 0.8006012 ],0.7987473444635892,"('B1', 'EVI_sin_2')",0.010794621291727636,0.006734090470845111,0.0038879289460897184,1999_2001
3,"(0, 13, 36)",[0.8422634  0.85170341 0.84368737 0.83717435],0.84370713133829,"('B1', 'EVI_sin_2', 'lrad')",0.008356378535477446,0.005213022999672746,0.0030097402321527704,1999_2001
4,"(0, 13, 17, 36)",[0.88883325 0.89328657 0.89078156 0.89128257],0.8910459878194044,"('B1', 'EVI_sin_2', 'Mean_NDBI', 'lrad')",0.0025398935732051666,0.001584481071271028,0.0009148005730241946,1999_2001
5,"(0, 7, 13, 17, 36)",[0.9098648  0.90581162 0.91282565 0.91382766],0.9105824317638782,"('B1', 'DEM', 'EVI_sin_2', 'Mean_NDBI', 'lrad')",0.004994973354783538,0.0031160521116521413,0.0017990535254712656,1999_2001
6,"(0, 7, 13, 16, 17, 36)",[0.91687531 0.91783567 0.92284569 0.92935872],0.9217288482824437,"('B1', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'lrad')",0.007941469187503027,0.004954186954298901,0.0028603011716802026,1999_2001
7,"(0, 6, 7, 13, 16, 17, 36)",[0.92188282 0.92234469 0.92635271 0.93486974],0.9263624896262228,"('B1', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'lrad')",0.008351806418847496,0.00521017074147885,0.003008093480116726,1999_2001
8,"(0, 4, 6, 7, 13, 16, 17, 36)",[0.92739109 0.92685371 0.92635271 0.93687375],0.9293678117376465,"('B1', 'B5', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'lrad')",0.006971499247069361,0.004349083249745024,0.002510944384968382,1999_2001
9,"(0, 4, 6, 7, 13, 16, 17, 35, 36)",[0.9344016  0.9248497  0.93386774 0.94288577],0.9340012022041079,"('B1', 'B5', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'SLOPE', 'lrad')",0.010228468911792533,0.006380903337759771,0.0036840162597285855,1999_2001
10,"(0, 4, 6, 7, 13, 16, 17, 35, 36, 39)",[0.9323986  0.92635271 0.93637275 0.94138277],0.9341267035824277,"('B1', 'B5', 'B7', 'DEM', 'EVI_sin_2', 'Mean_EVI', 'Mean_NDBI', 'SLOPE', 'lrad', 'shum')",0.00882064185926861,0.005502647910099279,0.0031769552521515505,1999_2001
